timestamp,occupancy,previous_occupancy,event_type,room_id
2023-01-02T06:24:50.534Z,1,0,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T06:24:51.275Z,2,1,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T06:24:59.000Z,3,2,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T07:06:21.000Z,4,3,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T08:44:40.000Z,5,4,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T09:04:12.000Z,6,5,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T10:04:38.000Z,7,6,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T11:04:17.000Z,6,7,OUT,c73318q0eov7mmw60yyy7u0l
2023-01-02T11:34:24.842Z,5,6,OUT,c73318q0eov7mmw60yyy7u0l
2023-01-02T11:34:38.271Z,4,5,OUT,c73318q0eov7mmw60yyy7u0l
2023-01-02T11:34:53.000Z,3,4,OUT,c73318q0eov7mmw60yyy7u0l
2023-01-02T11:35:19.336Z,2,3,OUT,c73318q0eov7mmw60yyy7u0l
2023-01-02T12:22:41.000Z,1,2,OUT,c73318q0eov7mmw60yyy7u0l
2023-01-02T13:32:17.000Z,2,1,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T13:32:28.293Z,3,2,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T13:32:35.532Z,4,3,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T13:32:45.597Z,5,4,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T13:51:00.000Z,6,5,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T13:51:10.271Z,7,6,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T14:10:46.702Z,8,7,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T14:11:15.000Z,9,8,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T14:11:40.637Z,10,9,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T14:30:44.000Z,10,10,IN,c73318q0eov7mmw60yyy7u0l
2023-01-02T15:05:17.251Z,10,11,OUT,c73318q0eov7mmw60yyy7u0l
2023-01-02T15:05:47.000Z,9,10,OUT,c73318q0eov7mmw60yyy7u0l
