timestamp,occupancy,previous_occupancy,event_type,room_id
2023-01-02T06:44:26.000Z,1,0,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T07:49:30.000Z,2,1,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T07:49:47.224Z,3,2,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T08:07:49.000Z,2,3,OUT,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T08:13:49.000Z,3,2,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T08:14:00.140Z,4,3,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T08:14:00.892Z,5,4,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T08:14:13.362Z,6,5,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T08:44:36.000Z,7,6,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T09:19:23.121Z,8,7,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T09:19:33.599Z,9,8,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T09:19:42.929Z,10,9,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T09:19:46.000Z,10,10,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T10:49:20.000Z,10,11,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T11:07:45.000Z,10,12,OUT,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T11:07:55.214Z,10,11,OUT,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T11:32:38.000Z,9,10,OUT,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T12:33:51.000Z,8,9,OUT,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T13:02:10.276Z,9,8,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T13:02:21.000Z,10,9,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T13:02:49.690Z,10,10,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T13:11:30.000Z,10,11,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T14:22:11.157Z,10,12,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T14:22:27.000Z,10,13,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T14:25:38.903Z,10,14,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T14:25:42.000Z,10,15,IN,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T15:02:49.000Z,10,16,OUT,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T15:03:11.671Z,10,15,OUT,d4c6ogy1g0i6v8mv74fd1zwj
2023-01-02T15:03:11.854Z,10,14,OUT,d4c6ogy1g0i6v8mv74fd1zwj
