timestamp,occupancy,previous_occupancy,event_type,room_id
2023-01-02T06:59:57.000Z,1,0,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T07:09:00.000Z,2,1,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T08:17:04.000Z,3,2,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T09:29:13.659Z,4,3,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T09:29:35.000Z,5,4,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T09:29:44.548Z,6,5,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T10:15:15.000Z,7,6,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T11:02:16.000Z,6,7,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T11:51:38.428Z,5,6,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T11:51:52.000Z,4,5,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T11:52:02.816Z,3,4,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T11:52:18.096Z,2,3,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T12:26:56.000Z,1,2,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T12:32:56.000Z,2,1,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T12:35:21.602Z,1,2,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T12:35:34.000Z,0,1,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T13:49:06.861Z,1,0,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T13:49:12.396Z,2,1,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T13:49:46.512Z,3,2,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T13:50:11.000Z,4,3,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T13:50:25.009Z,5,4,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T13:50:40.929Z,6,5,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T14:31:07.000Z,7,6,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T14:43:57.000Z,8,7,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-02T15:04:38.000Z,7,8,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T16:59:13.317Z,6,7,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T16:59:14.436Z,5,6,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T16:59:29.000Z,4,5,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T16:59:38.448Z,3,4,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T17:28:19.000Z,2,3,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T18:14:29.000Z,1,2,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T19:11:09.000Z,0,1,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T20:49:25.342Z,0,0,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T20:49:47.591Z,0,0,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-02T20:50:11.687Z,0,0,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T06:33:05.632Z,1,0,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T06:33:32.000Z,2,1,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T07:07:01.000Z,3,2,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T08:10:39.397Z,4,3,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T08:10:58.000Z,5,4,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T08:11:01.680Z,6,5,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T08:21:46.239Z,5,6,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T08:21:47.248Z,4,5,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T08:22:02.368Z,3,4,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T08:22:05.000Z,2,3,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T08:29:42.190Z,3,2,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T08:30:05.000Z,4,3,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T09:08:01.200Z,3,4,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T09:08:05.220Z,2,3,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T09:08:12.000Z,1,2,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T09:08:12.223Z,0,1,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T09:14:52.247Z,1,0,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T09:14:52.338Z,2,1,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T09:15:12.000Z,3,2,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T09:33:07.511Z,4,3,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T09:33:14.000Z,5,4,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T10:47:51.574Z,6,5,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T10:47:52.600Z,7,6,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T10:47:59.000Z,8,7,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T10:48:07.583Z,9,8,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T11:23:23.552Z,8,9,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T11:23:25.000Z,7,8,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T11:23:43.098Z,6,7,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T11:25:26.970Z,5,6,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T11:25:27.000Z,4,5,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T11:25:56.442Z,3,4,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T12:27:46.000Z,2,3,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T13:17:48.861Z,3,2,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T13:18:43.000Z,4,3,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T14:12:16.987Z,5,4,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T14:12:20.000Z,6,5,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T14:58:16.000Z,7,6,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-03T15:36:55.000Z,6,7,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T16:37:02.000Z,5,6,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T17:29:24.000Z,4,5,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T18:51:49.053Z,3,4,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T18:52:08.000Z,2,3,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T18:52:31.232Z,1,2,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T19:57:50.000Z,0,1,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-03T20:59:09.633Z,0,0,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T06:05:24.000Z,1,0,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-04T07:24:51.000Z,2,1,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-04T08:13:35.000Z,3,2,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-04T09:32:12.000Z,4,3,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-04T10:12:13.000Z,5,4,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-04T11:02:08.000Z,4,5,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T11:35:03.000Z,3,4,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T12:24:04.075Z,2,3,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T12:24:17.000Z,1,2,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T12:24:25.818Z,0,1,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T13:02:53.000Z,1,0,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-04T13:24:12.000Z,2,1,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-04T13:40:06.000Z,1,2,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T13:53:04.524Z,2,1,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-04T13:53:06.000Z,3,2,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-04T14:49:08.000Z,4,3,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-04T14:49:11.368Z,5,4,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-04T15:49:32.000Z,4,5,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T15:59:54.993Z,3,4,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T16:00:03.000Z,2,3,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T16:00:15.445Z,1,2,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T16:00:17.947Z,0,1,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T17:50:33.000Z,0,0,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T17:50:44.931Z,0,0,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T18:32:28.228Z,0,0,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T18:32:42.016Z,0,0,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T18:32:51.000Z,0,0,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T19:23:15.580Z,0,0,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T19:23:28.000Z,0,0,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-04T20:49:20.945Z,0,0,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-05T06:55:04.000Z,1,0,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-05T07:53:49.000Z,2,1,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-05T08:06:58.252Z,3,2,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-05T08:07:22.000Z,4,3,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-05T08:07:36.215Z,5,4,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-05T09:14:35.000Z,6,5,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-05T10:26:09.000Z,7,6,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-05T11:13:59.000Z,6,7,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-05T11:14:08.193Z,5,6,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-05T11:14:26.220Z,4,5,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-05T11:21:02.344Z,3,4,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-05T11:21:14.000Z,2,3,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-05T12:32:40.000Z,1,2,OUT,e09pq3r7ztioltnn1bckfxcz
2023-01-05T13:52:00.000Z,2,1,IN,e09pq3r7ztioltnn1bckfxcz
2023-01-05T13:52:44.109Z,3,2,IN,e09pq3r7ztioltnn1bckfxcz
