timestamp,occupancy,previous_occupancy,event_type,room_id
2023-01-02T06:01:51.000Z,1,0,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T07:34:36.000Z,2,1,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T07:34:44.467Z,3,2,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T07:34:52.084Z,4,3,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T08:11:54.000Z,5,4,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T08:11:59.933Z,6,5,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T08:12:03.267Z,7,6,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T09:13:19.210Z,8,7,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T09:13:23.000Z,9,8,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T09:13:25.396Z,10,9,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T09:13:46.473Z,10,10,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T10:04:15.000Z,10,11,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T11:15:26.000Z,10,12,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T11:15:45.592Z,10,11,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T11:22:26.000Z,10,10,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T11:43:24.000Z,10,11,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T11:43:39.626Z,9,10,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T11:58:00.000Z,8,9,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T11:58:13.703Z,7,8,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T12:49:51.000Z,6,7,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T13:09:01.169Z,7,6,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T13:09:11.181Z,8,7,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T13:09:12.000Z,9,8,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T13:50:46.000Z,10,9,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T14:19:11.534Z,10,10,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T14:19:19.000Z,10,11,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T14:19:36.394Z,10,12,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T14:20:18.122Z,10,13,IN,gj81ey7uuhstcw36o3orjujq
2023-01-02T15:02:28.000Z,10,14,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T16:48:26.000Z,10,13,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T17:19:58.578Z,10,12,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T17:20:26.000Z,10,11,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T17:20:44.103Z,9,10,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T18:53:31.685Z,8,9,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T18:53:36.000Z,7,8,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T18:53:44.149Z,6,7,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T18:53:48.118Z,5,6,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T19:46:02.000Z,4,5,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-02T20:56:06.302Z,3,4,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T06:03:03.000Z,1,0,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T07:19:53.000Z,2,1,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T08:40:19.000Z,3,2,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T08:40:45.742Z,4,3,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T09:28:55.000Z,5,4,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T10:41:39.474Z,6,5,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T10:41:43.718Z,7,6,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T10:41:59.000Z,8,7,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T11:10:16.000Z,7,8,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T11:35:55.000Z,6,7,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T12:58:43.000Z,5,6,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T13:19:17.466Z,6,5,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T13:19:42.233Z,7,6,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T13:19:43.000Z,8,7,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T13:19:48.704Z,9,8,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T13:33:37.738Z,10,9,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T13:33:56.346Z,10,10,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T13:33:59.000Z,10,11,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T13:34:12.567Z,10,12,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T14:01:16.000Z,10,13,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T14:17:44.000Z,10,14,IN,gj81ey7uuhstcw36o3orjujq
2023-01-03T15:36:16.000Z,10,15,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T16:09:00.000Z,10,14,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T16:09:10.464Z,10,13,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T16:09:19.432Z,10,12,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T17:06:03.337Z,10,11,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T17:06:21.000Z,9,10,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T18:25:49.541Z,8,9,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T18:26:18.000Z,7,8,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T18:26:20.165Z,6,7,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T18:26:40.744Z,5,6,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T19:49:06.000Z,4,5,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-03T20:49:58.879Z,3,4,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T06:18:10.670Z,1,0,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T06:18:23.000Z,2,1,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T06:18:46.507Z,3,2,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T06:18:50.866Z,4,3,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T07:51:34.000Z,5,4,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T08:37:53.154Z,6,5,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T08:38:17.719Z,7,6,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T08:38:20.000Z,8,7,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T09:06:56.000Z,9,8,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T09:07:09.223Z,10,9,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T09:07:20.184Z,10,10,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T10:48:31.000Z,10,11,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T11:10:08.000Z,10,12,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T11:10:08.821Z,10,11,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T11:10:31.265Z,9,10,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T11:27:23.900Z,8,9,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T11:27:26.000Z,7,8,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T11:27:41.349Z,6,7,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T12:43:31.000Z,5,6,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T13:11:35.000Z,6,5,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T13:22:59.000Z,7,6,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T13:27:51.858Z,6,7,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T13:28:18.000Z,5,6,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T13:28:37.750Z,4,5,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T13:40:18.000Z,5,4,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T14:53:23.000Z,6,5,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T14:53:29.028Z,7,6,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T14:53:42.760Z,8,7,IN,gj81ey7uuhstcw36o3orjujq
2023-01-04T15:43:49.000Z,7,8,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T15:43:50.761Z,6,7,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T16:15:46.000Z,5,6,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T17:53:32.983Z,4,5,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T17:53:36.000Z,3,4,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T17:53:50.467Z,2,3,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T17:53:59.721Z,1,2,OUT,gj81ey7uuhstcw36o3orjujq
2023-01-04T18:30:39.000Z,0,1,OUT,gj81ey7uuhstcw36o3orjujq
